what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"ko_KR",1331627315437
processors,sysinfo,,,"2",1331627315437
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331627315437
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1331627315437
java.specification.name,sysinfo,,,"Java Platform API Specification",1331627315437
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331627315437
java.specification.version,sysinfo,,,"1.6",1331627315437
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331627315437
java.version,sysinfo,,,"1.6.0_31",1331627315437
java.vm.info,sysinfo,,,"mixed mode, sharing",1331627315437
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1331627315437
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331627315437
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331627315437
java.vm.specification.version,sysinfo,,,"1.0",1331627315437
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331627315437
java.vm.version,sysinfo,,,"20.6-b01",1331627315437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331627316218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331627346578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1331627346609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331627347531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331627348593
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331627348765
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1331627349156
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1331627349156
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1331627349156
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1331627349156
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1331627349156
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1331627349156
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1331627349171
